Position [um],Voltage [V]
39.388248,-0.000019
39.422345,-0.000034
39.456443,-0.000006
39.490541,-0.000009
39.524638,-0.000010
39.558736,0.000004
39.592834,0.000002
39.626931,-0.000006
39.661029,-0.000006
39.695127,-0.000021
39.729224,0.000005
39.763322,0.000021
39.797420,0.000025
39.831517,0.000020
39.865615,0.000022
39.899713,0.000025
39.933810,0.000021
39.967908,0.000000
40.002006,-0.000013
40.036103,-0.000015
40.070201,-0.000024
40.104299,-0.000016
40.138396,-0.000012
40.172494,-0.000004
40.206592,-0.000010
40.240689,0.000000
40.274787,-0.000020
40.308885,-0.000005
40.342982,0.000025
40.377080,0.000020
40.411178,0.000017
40.445275,0.000004
40.479373,0.000001
40.513471,0.000002
40.547568,-0.000006
40.581666,-0.000015
40.615764,-0.000020
40.649861,-0.000020
40.683959,-0.000007
40.718057,0.000007
40.752154,0.000002
40.786252,-0.000017
40.820350,0.000007
40.854447,0.000018
40.888545,0.000025
40.922643,-0.000028
40.956740,-0.000025
40.990838,-0.000010
41.024936,-0.000008
41.059033,-0.000003
41.093131,-0.000016
41.127229,-0.000014
41.161326,0.000013
41.195424,0.000004
41.229522,0.000018
41.263619,0.000045
41.297717,0.000021
41.331815,0.000013
41.365912,0.000005
41.400010,0.000007
41.434108,-0.000017
41.468205,-0.000018
41.502303,-0.000031
41.536401,-0.000009
41.570499,-0.000001
41.604596,-0.000002
41.638694,-0.000009
41.672792,-0.000007
41.706889,0.000019
41.740987,0.000030
41.775085,0.000018
41.809182,0.000013
41.843280,-0.000002
41.877378,0.000000
41.911475,-0.000021
41.945573,-0.000017
41.979671,-0.000040
42.013768,-0.000032
42.047866,-0.000026
42.081964,-0.000006
42.116061,-0.000000
42.150159,-0.000006
42.184257,0.000012
42.218354,0.000028
42.252452,0.000017
42.286550,0.000031
42.320647,0.000061
42.354745,0.000025
42.388843,-0.000029
42.422940,0.000013
42.457038,0.000016
42.491136,-0.000006
42.525233,-0.000028
42.559331,-0.000035
42.593429,-0.000050
42.627526,-0.000062
42.661624,-0.000055
42.695722,-0.000048
42.729819,-0.000034
42.763917,-0.000006
42.798015,-0.000034
42.832112,-0.000009
42.866210,-0.000041
42.900308,-0.000033
42.934405,-0.000039
42.968503,-0.000056
43.002601,-0.000054
43.036698,-0.000052
43.070796,-0.000039
43.104894,-0.000037
43.138991,-0.000042
43.173089,-0.000022
43.207187,0.000015
43.241284,0.000031
43.275382,0.000005
43.309480,-0.000023
43.343577,-0.000018
43.377675,-0.000004
43.411773,0.000007
43.445870,-0.000034
43.479968,-0.000013
43.514066,-0.000007
43.548163,-0.000011
43.582261,-0.000022
43.616359,0.000000
43.650456,0.000006
43.684554,0.000004
43.718652,-0.000018
43.752749,-0.000018
43.786847,-0.000008
43.820945,-0.000009
43.855042,-0.000019
43.889140,-0.000035
43.923238,-0.000042
43.957335,-0.000043
43.991433,-0.000027
44.025531,-0.000034
44.059628,-0.000046
44.093726,-0.000016
44.127824,-0.000012
44.161921,0.000034
44.196019,0.000017
44.230117,-0.000005
44.264214,0.000012
44.298312,-0.000008
44.332410,0.000031
44.366507,0.000018
44.400605,0.000006
44.434703,0.000016
44.468800,0.000019
44.502898,0.000022
44.536996,0.000022
44.571093,0.000026
44.605191,0.000043
44.639289,0.000055
44.673386,0.000049
44.707484,0.000031
44.741582,0.000016
44.775679,0.000018
44.809777,0.000007
44.843875,-0.000015
